"","day","hijri_day","imsak","fajr","sunrise","duhr","asr","maghrib","isha","qiyam","cities","sunset"
"18",2024-01-18,6,1899-12-31 03:45:00,1899-12-31 03:55:00,"03:55",1899-12-31 11:36:00,1899-12-31 14:59:00,1899-12-31 17:52:00,1899-12-31 19:06:00,1899-12-31 23:28:00,"Banyuwangi","17:52"
"19",2024-01-19,7,1899-12-31 03:45:00,1899-12-31 03:55:00,"03:55",1899-12-31 11:36:00,1899-12-31 14:59:00,1899-12-31 17:52:00,1899-12-31 19:07:00,1899-12-31 23:28:00,"Banyuwangi","17:52"
"20",2024-01-20,8,1899-12-31 03:46:00,1899-12-31 03:56:00,"03:56",1899-12-31 11:37:00,1899-12-31 14:59:00,1899-12-31 17:52:00,1899-12-31 19:07:00,1899-12-31 23:29:00,"Banyuwangi","17:52"
"21",2024-01-21,9,1899-12-31 03:46:00,1899-12-31 03:56:00,"03:56",1899-12-31 11:37:00,1899-12-31 14:59:00,1899-12-31 17:52:00,1899-12-31 19:07:00,1899-12-31 23:29:00,"Banyuwangi","17:52"
"22",2024-01-22,10,1899-12-31 03:47:00,1899-12-31 03:57:00,"03:57",1899-12-31 11:37:00,1899-12-31 14:59:00,1899-12-31 17:53:00,1899-12-31 19:07:00,1899-12-31 23:29:00,"Banyuwangi","17:53"
"23",2024-01-23,11,1899-12-31 03:48:00,1899-12-31 03:58:00,"03:58",1899-12-31 11:38:00,1899-12-31 14:59:00,1899-12-31 17:53:00,1899-12-31 19:07:00,1899-12-31 23:30:00,"Banyuwangi","17:53"
"24",2024-01-24,12,1899-12-31 03:48:00,1899-12-31 03:58:00,"03:58",1899-12-31 11:38:00,1899-12-31 14:59:00,1899-12-31 17:53:00,1899-12-31 19:07:00,1899-12-31 23:30:00,"Banyuwangi","17:53"
"25",2024-01-25,13,1899-12-31 03:49:00,1899-12-31 03:59:00,"03:59",1899-12-31 11:38:00,1899-12-31 14:59:00,1899-12-31 17:53:00,1899-12-31 19:07:00,1899-12-31 23:30:00,"Banyuwangi","17:53"
"26",2024-01-26,14,1899-12-31 03:49:00,1899-12-31 03:59:00,"03:59",1899-12-31 11:38:00,1899-12-31 14:59:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:30:00,"Banyuwangi","17:53"
"27",2024-01-27,15,1899-12-31 03:50:00,1899-12-31 04:00:00,"04:00",1899-12-31 11:39:00,1899-12-31 14:59:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:31:00,"Banyuwangi","17:53"
"28",2024-01-28,16,1899-12-31 03:50:00,1899-12-31 04:00:00,"04:00",1899-12-31 11:39:00,1899-12-31 14:58:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:31:00,"Banyuwangi","17:53"
"29",2024-01-29,17,1899-12-31 03:51:00,1899-12-31 04:01:00,"04:01",1899-12-31 11:39:00,1899-12-31 14:58:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:31:00,"Banyuwangi","17:53"
"30",2024-01-30,18,1899-12-31 03:51:00,1899-12-31 04:01:00,"04:01",1899-12-31 11:39:00,1899-12-31 14:58:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:31:00,"Banyuwangi","17:53"
"31",2024-01-31,19,1899-12-31 03:52:00,1899-12-31 04:02:00,"04:02",1899-12-31 11:39:00,1899-12-31 14:58:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:31:00,"Banyuwangi","17:53"
"32",2024-02-01,20,1899-12-31 03:52:00,1899-12-31 04:02:00,"04:02",1899-12-31 11:39:00,1899-12-31 14:58:00,1899-12-31 17:53:00,1899-12-31 19:06:00,1899-12-31 23:32:00,"Banyuwangi","17:53"
"33",2024-02-02,21,1899-12-31 03:53:00,1899-12-31 04:03:00,"04:03",1899-12-31 11:40:00,1899-12-31 14:57:00,1899-12-31 17:53:00,1899-12-31 19:05:00,1899-12-31 23:32:00,"Banyuwangi","17:53"
"34",2024-02-03,22,1899-12-31 03:53:00,1899-12-31 04:03:00,"04:03",1899-12-31 11:40:00,1899-12-31 14:57:00,1899-12-31 17:53:00,1899-12-31 19:05:00,1899-12-31 23:32:00,"Banyuwangi","17:53"
"35",2024-02-04,23,1899-12-31 03:54:00,1899-12-31 04:04:00,"04:04",1899-12-31 11:40:00,1899-12-31 14:57:00,1899-12-31 17:53:00,1899-12-31 19:05:00,1899-12-31 23:32:00,"Banyuwangi","17:53"
"36",2024-02-05,24,1899-12-31 03:54:00,1899-12-31 04:04:00,"04:04",1899-12-31 11:40:00,1899-12-31 14:56:00,1899-12-31 17:53:00,1899-12-31 19:05:00,1899-12-31 23:32:00,"Banyuwangi","17:53"
"37",2024-02-06,25,1899-12-31 03:55:00,1899-12-31 04:05:00,"04:05",1899-12-31 11:40:00,1899-12-31 14:56:00,1899-12-31 17:53:00,1899-12-31 19:05:00,1899-12-31 23:32:00,"Banyuwangi","17:53"
"38",2024-02-07,26,1899-12-31 03:55:00,1899-12-31 04:05:00,"04:05",1899-12-31 11:40:00,1899-12-31 14:55:00,1899-12-31 17:52:00,1899-12-31 19:04:00,1899-12-31 23:32:00,"Banyuwangi","17:52"
"39",2024-02-08,27,1899-12-31 03:55:00,1899-12-31 04:05:00,"04:05",1899-12-31 11:40:00,1899-12-31 14:55:00,1899-12-31 17:52:00,1899-12-31 19:04:00,1899-12-31 23:32:00,"Banyuwangi","17:52"
"40",2024-02-09,28,1899-12-31 03:56:00,1899-12-31 04:06:00,"04:06",1899-12-31 11:40:00,1899-12-31 14:54:00,1899-12-31 17:52:00,1899-12-31 19:04:00,1899-12-31 23:32:00,"Banyuwangi","17:52"
"41",2024-02-10,29,1899-12-31 03:56:00,1899-12-31 04:06:00,"04:06",1899-12-31 11:40:00,1899-12-31 14:54:00,1899-12-31 17:52:00,1899-12-31 19:03:00,1899-12-31 23:32:00,"Banyuwangi","17:52"
"42",2024-02-11,30,1899-12-31 03:57:00,1899-12-31 04:07:00,"04:07",1899-12-31 11:40:00,1899-12-31 14:53:00,1899-12-31 17:52:00,1899-12-31 19:03:00,1899-12-31 23:32:00,"Banyuwangi","17:52"
"43",2024-02-12,1,1899-12-31 03:57:00,1899-12-31 04:07:00,"04:07",1899-12-31 11:40:00,1899-12-31 14:53:00,1899-12-31 17:51:00,1899-12-31 19:03:00,1899-12-31 23:32:00,"Banyuwangi","17:51"
"44",2024-02-13,2,1899-12-31 03:57:00,1899-12-31 04:07:00,"04:07",1899-12-31 11:40:00,1899-12-31 14:52:00,1899-12-31 17:51:00,1899-12-31 19:02:00,1899-12-31 23:32:00,"Banyuwangi","17:51"
"45",2024-02-14,3,1899-12-31 03:58:00,1899-12-31 04:08:00,"04:08",1899-12-31 11:40:00,1899-12-31 14:51:00,1899-12-31 17:51:00,1899-12-31 19:02:00,1899-12-31 23:32:00,"Banyuwangi","17:51"
"46",2024-02-15,4,1899-12-31 03:58:00,1899-12-31 04:08:00,"04:08",1899-12-31 11:40:00,1899-12-31 14:51:00,1899-12-31 17:51:00,1899-12-31 19:02:00,1899-12-31 23:32:00,"Banyuwangi","17:51"
"47",2024-02-16,5,1899-12-31 03:58:00,1899-12-31 04:08:00,"04:08",1899-12-31 11:40:00,1899-12-31 14:50:00,1899-12-31 17:51:00,1899-12-31 19:01:00,1899-12-31 23:32:00,"Banyuwangi","17:51"
"48",2024-02-17,6,1899-12-31 03:58:00,1899-12-31 04:08:00,"04:08",1899-12-31 11:40:00,1899-12-31 14:49:00,1899-12-31 17:50:00,1899-12-31 19:01:00,1899-12-31 23:32:00,"Banyuwangi","17:50"
"49",2024-02-18,7,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:40:00,1899-12-31 14:49:00,1899-12-31 17:50:00,1899-12-31 19:01:00,1899-12-31 23:32:00,"Banyuwangi","17:50"
"50",2024-02-19,8,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:40:00,1899-12-31 14:48:00,1899-12-31 17:50:00,1899-12-31 19:00:00,1899-12-31 23:32:00,"Banyuwangi","17:50"
"51",2024-02-20,9,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:40:00,1899-12-31 14:47:00,1899-12-31 17:49:00,1899-12-31 19:00:00,1899-12-31 23:32:00,"Banyuwangi","17:49"
"52",2024-02-21,10,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:40:00,1899-12-31 14:46:00,1899-12-31 17:49:00,1899-12-31 18:59:00,1899-12-31 23:32:00,"Banyuwangi","17:49"
"53",2024-02-22,11,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:40:00,1899-12-31 14:45:00,1899-12-31 17:49:00,1899-12-31 18:59:00,1899-12-31 23:32:00,"Banyuwangi","17:49"
"54",2024-02-23,12,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:39:00,1899-12-31 14:44:00,1899-12-31 17:48:00,1899-12-31 18:58:00,1899-12-31 23:32:00,"Banyuwangi","17:48"
"55",2024-02-24,13,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:39:00,1899-12-31 14:44:00,1899-12-31 17:48:00,1899-12-31 18:58:00,1899-12-31 23:32:00,"Banyuwangi","17:48"
"56",2024-02-25,14,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:39:00,1899-12-31 14:43:00,1899-12-31 17:48:00,1899-12-31 18:57:00,1899-12-31 23:31:00,"Banyuwangi","17:48"
"57",2024-02-26,15,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:39:00,1899-12-31 14:42:00,1899-12-31 17:47:00,1899-12-31 18:57:00,1899-12-31 23:31:00,"Banyuwangi","17:47"
"58",2024-02-27,16,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:39:00,1899-12-31 14:41:00,1899-12-31 17:47:00,1899-12-31 18:57:00,1899-12-31 23:31:00,"Banyuwangi","17:47"
"59",2024-02-28,17,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:39:00,1899-12-31 14:40:00,1899-12-31 17:46:00,1899-12-31 18:56:00,1899-12-31 23:31:00,"Banyuwangi","17:46"
"60",2024-02-29,18,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:38:00,1899-12-31 14:40:00,1899-12-31 17:46:00,1899-12-31 18:56:00,1899-12-31 23:31:00,"Banyuwangi","17:46"
"61",2024-03-01,19,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:38:00,1899-12-31 14:40:00,1899-12-31 17:46:00,1899-12-31 18:55:00,1899-12-31 23:31:00,"Banyuwangi","17:46"
"62",2024-03-02,20,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:38:00,1899-12-31 14:41:00,1899-12-31 17:45:00,1899-12-31 18:55:00,1899-12-31 23:30:00,"Banyuwangi","17:45"
"63",2024-03-03,21,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:38:00,1899-12-31 14:41:00,1899-12-31 17:45:00,1899-12-31 18:54:00,1899-12-31 23:30:00,"Banyuwangi","17:45"
"64",2024-03-04,22,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:38:00,1899-12-31 14:42:00,1899-12-31 17:44:00,1899-12-31 18:54:00,1899-12-31 23:30:00,"Banyuwangi","17:44"
"65",2024-03-05,23,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:37:00,1899-12-31 14:42:00,1899-12-31 17:44:00,1899-12-31 18:53:00,1899-12-31 23:30:00,"Banyuwangi","17:44"
"66",2024-03-06,24,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:37:00,1899-12-31 14:42:00,1899-12-31 17:43:00,1899-12-31 18:52:00,1899-12-31 23:30:00,"Banyuwangi","17:43"
"67",2024-03-07,25,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:37:00,1899-12-31 14:43:00,1899-12-31 17:43:00,1899-12-31 18:52:00,1899-12-31 23:29:00,"Banyuwangi","17:43"
"68",2024-03-08,26,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:37:00,1899-12-31 14:43:00,1899-12-31 17:42:00,1899-12-31 18:51:00,1899-12-31 23:29:00,"Banyuwangi","17:42"
"69",2024-03-09,27,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:36:00,1899-12-31 14:43:00,1899-12-31 17:42:00,1899-12-31 18:51:00,1899-12-31 23:29:00,"Banyuwangi","17:42"
"70",2024-03-10,28,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:36:00,1899-12-31 14:44:00,1899-12-31 17:41:00,1899-12-31 18:50:00,1899-12-31 23:29:00,"Banyuwangi","17:41"
"71",2024-03-11,29,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:36:00,1899-12-31 14:44:00,1899-12-31 17:41:00,1899-12-31 18:50:00,1899-12-31 23:28:00,"Banyuwangi","17:41"
"72",2024-03-12,1,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:36:00,1899-12-31 14:44:00,1899-12-31 17:40:00,1899-12-31 18:49:00,1899-12-31 23:28:00,"Banyuwangi","17:40"
"73",2024-03-13,2,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:35:00,1899-12-31 14:44:00,1899-12-31 17:40:00,1899-12-31 18:49:00,1899-12-31 23:28:00,"Banyuwangi","17:40"
"74",2024-03-14,3,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:35:00,1899-12-31 14:45:00,1899-12-31 17:39:00,1899-12-31 18:48:00,1899-12-31 23:28:00,"Banyuwangi","17:39"
"75",2024-03-15,4,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:35:00,1899-12-31 14:45:00,1899-12-31 17:39:00,1899-12-31 18:48:00,1899-12-31 23:27:00,"Banyuwangi","17:39"
"76",2024-03-16,5,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:35:00,1899-12-31 14:45:00,1899-12-31 17:38:00,1899-12-31 18:47:00,1899-12-31 23:27:00,"Banyuwangi","17:38"
"77",2024-03-17,6,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:34:00,1899-12-31 14:45:00,1899-12-31 17:38:00,1899-12-31 18:47:00,1899-12-31 23:27:00,"Banyuwangi","17:38"
"78",2024-03-18,7,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:34:00,1899-12-31 14:45:00,1899-12-31 17:37:00,1899-12-31 18:46:00,1899-12-31 23:26:00,"Banyuwangi","17:37"
"79",2024-03-19,8,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:34:00,1899-12-31 14:45:00,1899-12-31 17:37:00,1899-12-31 18:46:00,1899-12-31 23:26:00,"Banyuwangi","17:37"
"80",2024-03-20,9,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:33:00,1899-12-31 14:46:00,1899-12-31 17:36:00,1899-12-31 18:45:00,1899-12-31 23:26:00,"Banyuwangi","17:36"
"81",2024-03-21,10,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:33:00,1899-12-31 14:46:00,1899-12-31 17:36:00,1899-12-31 18:45:00,1899-12-31 23:26:00,"Banyuwangi","17:36"
"82",2024-03-22,11,1899-12-31 04:02:00,1899-12-31 04:12:00,"04:12",1899-12-31 11:33:00,1899-12-31 14:46:00,1899-12-31 17:36:00,1899-12-31 18:44:00,1899-12-31 23:25:00,"Banyuwangi","17:36"
"83",2024-03-23,12,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:33:00,1899-12-31 14:46:00,1899-12-31 17:35:00,1899-12-31 18:43:00,1899-12-31 23:25:00,"Banyuwangi","17:35"
"84",2024-03-24,13,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:32:00,1899-12-31 14:46:00,1899-12-31 17:34:00,1899-12-31 18:43:00,1899-12-31 23:25:00,"Banyuwangi","17:34"
"85",2024-03-25,14,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:32:00,1899-12-31 14:46:00,1899-12-31 17:34:00,1899-12-31 18:42:00,1899-12-31 23:24:00,"Banyuwangi","17:34"
"86",2024-03-26,15,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:32:00,1899-12-31 14:46:00,1899-12-31 17:33:00,1899-12-31 18:42:00,1899-12-31 23:24:00,"Banyuwangi","17:33"
"87",2024-03-27,16,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:31:00,1899-12-31 14:46:00,1899-12-31 17:33:00,1899-12-31 18:41:00,1899-12-31 23:24:00,"Banyuwangi","17:33"
"88",2024-03-28,17,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:31:00,1899-12-31 14:46:00,1899-12-31 17:32:00,1899-12-31 18:41:00,1899-12-31 23:23:00,"Banyuwangi","17:32"
"89",2024-03-29,18,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:31:00,1899-12-31 14:46:00,1899-12-31 17:32:00,1899-12-31 18:40:00,1899-12-31 23:23:00,"Banyuwangi","17:32"
"90",2024-03-30,19,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:30:00,1899-12-31 14:46:00,1899-12-31 17:31:00,1899-12-31 18:40:00,1899-12-31 23:23:00,"Banyuwangi","17:31"
"91",2024-03-31,20,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:30:00,1899-12-31 14:46:00,1899-12-31 17:31:00,1899-12-31 18:39:00,1899-12-31 23:23:00,"Banyuwangi","17:31"
"92",2024-04-01,21,1899-12-31 04:01:00,1899-12-31 04:11:00,"04:11",1899-12-31 11:30:00,1899-12-31 14:46:00,1899-12-31 17:30:00,1899-12-31 18:39:00,1899-12-31 23:22:00,"Banyuwangi","17:30"
"93",2024-04-02,22,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:30:00,1899-12-31 14:46:00,1899-12-31 17:29:00,1899-12-31 18:38:00,1899-12-31 23:22:00,"Banyuwangi","17:29"
"94",2024-04-03,23,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:29:00,1899-12-31 14:46:00,1899-12-31 17:29:00,1899-12-31 18:38:00,1899-12-31 23:22:00,"Banyuwangi","17:29"
"95",2024-04-04,24,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:29:00,1899-12-31 14:46:00,1899-12-31 17:28:00,1899-12-31 18:37:00,1899-12-31 23:21:00,"Banyuwangi","17:28"
"96",2024-04-05,25,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:29:00,1899-12-31 14:46:00,1899-12-31 17:28:00,1899-12-31 18:37:00,1899-12-31 23:21:00,"Banyuwangi","17:28"
"97",2024-04-06,26,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:28:00,1899-12-31 14:46:00,1899-12-31 17:27:00,1899-12-31 18:36:00,1899-12-31 23:21:00,"Banyuwangi","17:27"
"98",2024-04-07,27,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:28:00,1899-12-31 14:46:00,1899-12-31 17:27:00,1899-12-31 18:36:00,1899-12-31 23:21:00,"Banyuwangi","17:27"
"99",2024-04-08,28,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:28:00,1899-12-31 14:46:00,1899-12-31 17:26:00,1899-12-31 18:36:00,1899-12-31 23:20:00,"Banyuwangi","17:26"
"100",2024-04-09,29,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:28:00,1899-12-31 14:45:00,1899-12-31 17:26:00,1899-12-31 18:35:00,1899-12-31 23:20:00,"Banyuwangi","17:26"
"101",2024-04-10,30,1899-12-31 04:00:00,1899-12-31 04:10:00,"04:10",1899-12-31 11:27:00,1899-12-31 14:45:00,1899-12-31 17:26:00,1899-12-31 18:35:00,1899-12-31 23:20:00,"Banyuwangi","17:26"
"102",2024-04-11,1,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:27:00,1899-12-31 14:45:00,1899-12-31 17:25:00,1899-12-31 18:34:00,1899-12-31 23:19:00,"Banyuwangi","17:25"
"103",2024-04-12,2,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:27:00,1899-12-31 14:45:00,1899-12-31 17:25:00,1899-12-31 18:34:00,1899-12-31 23:19:00,"Banyuwangi","17:25"
"104",2024-04-13,3,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:26:00,1899-12-31 14:45:00,1899-12-31 17:24:00,1899-12-31 18:33:00,1899-12-31 23:19:00,"Banyuwangi","17:24"
"105",2024-04-14,4,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:26:00,1899-12-31 14:45:00,1899-12-31 17:24:00,1899-12-31 18:33:00,1899-12-31 23:19:00,"Banyuwangi","17:24"
"106",2024-04-15,5,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:26:00,1899-12-31 14:45:00,1899-12-31 17:23:00,1899-12-31 18:33:00,1899-12-31 23:18:00,"Banyuwangi","17:23"
"107",2024-04-16,6,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:26:00,1899-12-31 14:45:00,1899-12-31 17:23:00,1899-12-31 18:32:00,1899-12-31 23:18:00,"Banyuwangi","17:23"
"108",2024-04-17,7,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:26:00,1899-12-31 14:45:00,1899-12-31 17:22:00,1899-12-31 18:32:00,1899-12-31 23:18:00,"Banyuwangi","17:22"
"109",2024-04-18,8,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:25:00,1899-12-31 14:45:00,1899-12-31 17:22:00,1899-12-31 18:32:00,1899-12-31 23:18:00,"Banyuwangi","17:22"
"110",2024-04-19,9,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:25:00,1899-12-31 14:44:00,1899-12-31 17:21:00,1899-12-31 18:31:00,1899-12-31 23:18:00,"Banyuwangi","17:21"
"111",2024-04-20,10,1899-12-31 03:59:00,1899-12-31 04:09:00,"04:09",1899-12-31 11:25:00,1899-12-31 14:44:00,1899-12-31 17:21:00,1899-12-31 18:31:00,1899-12-31 23:17:00,"Banyuwangi","17:21"
"112",2024-04-21,11,1899-12-31 03:58:00,1899-12-31 04:08:00,"04:08",1899-12-31 11:25:00,1899-12-31 14:44:00,1899-12-31 17:21:00,1899-12-31 18:31:00,1899-12-31 23:17:00,"Banyuwangi","17:21"
"113",2024-04-22,12,1899-12-31 03:58:00,1899-12-31 04:08:00,"04:08",1899-12-31 11:24:00,1899-12-31 14:44:00,1899-12-31 17:20:00,1899-12-31 18:30:00,1899-12-31 23:17:00,"Banyuwangi","17:20"
